"question","option_a","option_b","option_c","option_d","correct_answer"
"ಜೇಡರಹುಳು ಯಾವ ಗುಣಗಳಿಗೆ ಆದರ್ಶವಾಗಿದೆ? (Fill in: ಸಹನೆ ಮತ್ತು _______)","ಪ್ರಯತ್ನಶೀಲತೆ","ಸೋಮಾರಿತನ","ಕೋಪ","ದುಃಖ","A"
"ಸೋತ ರಾಜನಿಗೆ ______ ಗುರುವಾಯಿತು.","ಜೇಡರಹುಳು","ಆನೆ","ಸಿಂಹ","ಹುಲಿ","A"
"ಗಾಳಿಪಟಗಳಿಗೆ ಮೇಲೆ ಹಾರಲು ______ ಬೇಕು.","ಬಾಲಂಗೋಚಿ","ದಾರ","ಕಾಗದ","ಬಣ್ಣ","A"
"ಮಕ್ಕಳು ಗಾಳಿಪಟ ಹಾರಿಸಲು ______ ಸೇರಿದ್ದರು.","ಊರ ಮುಂದಿನ ಬಯಲಿನಲ್ಲಿ","ಮನೆಯಲ್ಲಿ","ಶಾಲೆಯಲ್ಲಿ","ಅಂಗಡಿಯಲ್ಲಿ","A"
"ಅಮ್ಮನನ್ನು ಕವಿ ______ ಎಂದು ಕರೆದಿದ್ದಾರೆ.","ನಡೆದಾಡುವ ದೇವತೆ","ಹೂವು","ಚಂದ್ರ","ನಕ್ಷತ್ರ","A"
"ತಾಯಿಯ ನುಡಿಯಲ್ಲಿ ______ ತುಂಬಿದೆ.","ಜೇನು","ಕಹಿ","ಉಪ್ಪು","ಹುಳಿ","A"
"ಮಗುವಿಗೆ ಮೊದಲ ಪಾಠಶಾಲೆ ______.","ಮನೆ","ಶಾಲೆ","ದೇವಸ್ಥಾನ","ಅಂಗಡಿ","A"
"ನರೇಂದ್ರನು ದೊಡ್ಡವರಾದ ಮೇಲೆ ______ ಆದರು.","ಸ್ವಾಮಿ ವಿವೇಕಾನಂದ","ಗಾಂಧೀಜಿ","ನೆಹರು","ಭಗತ್ ಸಿಂಗ್","A"
"ನರೇಂದ್ರನ ಮೇಲೆ ______ ಹರಿದು ಹೋಯಿತು.","ಹಾವು","ಇಲಿ","ಬೆಕ್ಕು","ನಾಯಿ","A"
"'ಸತತ ಪ್ರಯತ್ನವೇ ______' - ಇದು ಕಥೆಯ ನೀತಿ.","ಗೆಲುವಿನ ಗುಟ್ಟು","ಸೋಲಿನ ಗುಟ್ಟು","ದುಃಖದ ಗುಟ್ಟು","ಕೋಪದ ಗುಟ್ಟು","A"
