question,option_a,option_b,option_c,option_d,correct_answer,topic
ಅನುರಾಗ means?,Anger,Hatred,Love/Affection,Fear,C,Kannada Word Meaning
ಅರಸಿ means?,Running,Searching,Sleeping,Eating,B,Kannada Word Meaning
ಊಟೆ means?,Mountain,Water spring,River,Ocean,B,Kannada Word Meaning
ಒಲುಮೆ means?,Love/Affection,Hatred,Anger,Fear,A,Kannada Word Meaning
ಗುಟುಕು means?,Large amount,One swallow/sip,Bucket,Handful,B,Kannada Word Meaning
ಜಗದೊಡೆಯ means?,King,Minister,Supreme God,Soldier,C,Kannada Word Meaning
ದಿಕ್ಸೂಚಿ means?,Map,Compass,Clock,Calendar,B,Kannada Word Meaning
ನಭ means?,Earth,Sky,Water,Fire,B,Kannada Word Meaning
ನುಡಿ means?,Walk,Dance,Speech/Words,Sleep,C,Kannada Word Meaning
ಮಾತೆ means?,Father,Mother,Sister,Brother,B,Kannada Word Meaning
ಸಿರಿ means?,Poverty,Wealth,Sorrow,Pain,B,Kannada Word Meaning
ಹರಸು means?,Curse,Bless,Scold,Ignore,B,Kannada Word Meaning
ಕುತೂಹಲ means?,Boredom,Fear,Curiosity,Anger,C,Kannada Word Meaning
ಏಕಾಗ್ರತೆ means?,Distraction,Laziness,Concentration,Confusion,C,Kannada Word Meaning
ಗುಂಗು means?,Noise,Silence,Absorption/Engrossment,Brightness,C,Kannada Word Meaning
ಚಿಂತನೆ means?,Play,Sleep,Food,Meditation/Thought,D,Kannada Word Meaning
ಮಾಲಿ means?,Teacher,Gardener,Doctor,Farmer,B,Kannada Word Meaning
ಉಪಾಯ means?,Problem,Trick/Solution,Question,Confusion,B,Kannada Word Meaning
ರವಿ means?,Moon,Sun,Star,Cloud,B,Kannada Word Meaning
ಕಿರೀಟ means?,Ring,Necklace,Crown,Bracelet,C,Kannada Word Meaning
ಬಾನು means?,Earth,Water,Sky,Fire,C,Kannada Word Meaning
ಮೂಡಣ means?,West,North,South,East,D,Kannada Word Meaning
ನೆತ್ತರು means?,Water,Milk,Blood,Juice,C,Kannada Word Meaning
ಶೃಂಗಾರ means?,Sadness,Decoration/Romance,Anger,Fear,B,Kannada Word Meaning
ಸಾರು means?,Hide,Proclaim/Tell,Sleep,Run,B,Kannada Word Meaning
ಹಂದರ means?,Floor,Roof,Canopy/Trellis,Wall,C,Kannada Word Meaning
ಪುಷ್ಟಿ means?,Weakness,Nourishment/Strength,Sickness,Hunger,B,Kannada Word Meaning
ಗಜ means?,Horse,Lion,Elephant,Tiger,C,Kannada Word Meaning
ವಿಕಾಸ means?,Destruction,Development,Decline,Stagnation,B,Kannada Word Meaning
ಸೊಂಪು means?,Ugly,Dry,Beauty/Lush,Dull,C,Kannada Word Meaning
ಜೇಡರಹುಳು ಬಲೆ ನಿರ್ಮಿಸುವ ಕೆಲಸದಲ್ಲಿ ಹಲವು ಬಾರಿ _____.,ನಗುತ್ತದೆ,ಓಡುತ್ತದೆ,ಸೋಲುತ್ತದೆ,ಹಾರುತ್ತದೆ,C,Kannada Fill Blanks
